Steps = 9, Explorations = 5, Exploitations = 3, Epsilon rate = 0.4934219603538205, Episode = 249
Steps = 9, Explorations = 1, Exploitations = 7, Epsilon rate = 0.49302736091605825, Episode = 250
Steps = 17, Explorations = 8, Exploitations = 8, Epsilon rate = 0.49223910849542013, Episode = 251
Steps = 23, Explorations = 13, Exploitations = 9, Epsilon rate = 0.49115731877138263, Episode = 252
Steps = 11, Explorations = 1, Exploitations = 9, Epsilon rate = 0.49066638241447613, Episode = 253
Steps = 22, Explorations = 12, Exploitations = 9, Epsilon rate = 0.4896370127585162, Episode = 254
Steps = 11, Explorations = 3, Exploitations = 7, Epsilon rate = 0.4891475960236673, Episode = 255
Steps = 14, Explorations = 6, Exploitations = 7, Epsilon rate = 0.48851208554410025, Episode = 256
Steps = 12, Explorations = 5, Exploitations = 6, Epsilon rate = 0.48797499085106055, Episode = 257
Steps = 20, Explorations = 8, Exploitations = 11, Epsilon rate = 0.4870486723330193, Episode = 258
Steps = 10, Explorations = 3, Exploitations = 6, Epsilon rate = 0.48661050382453575, Episode = 259
Steps = 17, Explorations = 11, Exploitations = 5, Epsilon rate = 0.4858325106786079, Episode = 260
Steps = 17, Explorations = 7, Exploitations = 9, Epsilon rate = 0.4850557613885572, Episode = 261
Steps = 18, Explorations = 8, Exploitations = 9, Epsilon rate = 0.48423182594030983, Episode = 262
Steps = 34, Explorations = 21, Exploitations = 12, Epsilon rate = 0.4826364150187593, Episode = 263
Steps = 16, Explorations = 7, Exploitations = 8, Epsilon rate = 0.48191296694493335, Episode = 264
Steps = 21, Explorations = 12, Exploitations = 8, Epsilon rate = 0.4809500560965334, Episode = 265
Steps = 10, Explorations = 2, Exploitations = 7, Epsilon rate = 0.480517374147673, Episode = 266
Steps = 17, Explorations = 9, Exploitations = 7, Epsilon rate = 0.47974912270088343, Episode = 267
Steps = 9, Explorations = 3, Exploitations = 5, Epsilon rate = 0.47936545770561456, Episode = 268
Steps = 21, Explorations = 11, Exploitations = 9, Epsilon rate = 0.4784076370383286, Episode = 269
Steps = 14, Explorations = 4, Exploitations = 9, Epsilon rate = 0.47778608013134544, Episode = 270
Steps = 23, Explorations = 13, Exploitations = 9, Epsilon rate = 0.47673605370546046, Episode = 271
Steps = 13, Explorations = 7, Exploitations = 5, Epsilon rate = 0.47616428498195107, Episode = 272
Steps = 21, Explorations = 13, Exploitations = 7, Epsilon rate = 0.4752128605815319, Episode = 273
Steps = 13, Explorations = 5, Exploitations = 7, Epsilon rate = 0.47464291868479885, Episode = 274
Steps = 15, Explorations = 7, Exploitations = 7, Epsilon rate = 0.47397885035097365, Episode = 275
Steps = 16, Explorations = 7, Exploitations = 8, Epsilon rate = 0.4732683795376444, Episode = 276
Steps = 17, Explorations = 9, Exploitations = 7, Epsilon rate = 0.47251171778749546, Episode = 277
Steps = 13, Explorations = 4, Exploitations = 8, Epsilon rate = 0.4719450154799551, Episode = 278
Steps = 13, Explorations = 5, Exploitations = 7, Epsilon rate = 0.47137899284128487, Episode = 279
Steps = 20, Explorations = 10, Exploitations = 9, Epsilon rate = 0.47048417835638073, Episode = 280
Steps = 19, Explorations = 9, Exploitations = 9, Epsilon rate = 0.46963802629236107, Episode = 281
Steps = 23, Explorations = 12, Exploitations = 10, Epsilon rate = 0.46860590677545944, Episode = 282
Steps = 17, Explorations = 7, Exploitations = 9, Epsilon rate = 0.46785669938937285, Episode = 283
Steps = 13, Explorations = 4, Exploitations = 8, Epsilon rate = 0.4672955800326219, Episode = 284
Steps = 20, Explorations = 10, Exploitations = 9, Epsilon rate = 0.4664085170533734, Episode = 285
Steps = 12, Explorations = 7, Exploitations = 4, Epsilon rate = 0.465895724132357, Episode = 286
